46.28.224.0/24,RU,RU-SPE,Saint Petersburg,
46.28.225.0/24,RU,RU-SPE,Saint Petersburg,
46.28.226.0/24,RU,RU-SPE,Saint Petersburg,
46.28.277.0/24,RU,RU-SPE,Saint Petersburg,
46.28.228.0/24,RU,RU-SPE,Saint Petersburg,
46.28.229.0/24,RU,RU-SPE,Saint Petersburg,
46.28.230.0/24,RU,RU-SPE,Saint Petersburg,
46.28.231.0/24,RU,RU-SPE,Saint Petersburg,
77.72.120.0/24,RU,RU-SPE,Saint Petersburg,
77.72.121.0/24,RU,RU-SPE,Saint Petersburg,
77.72.122.0/24,RU,RU-SPE,Saint Petersburg,
77.72.123.0/24,RU,RU-SPE,Saint Petersburg,
77.72.124.0/24,RU,RU-SPE,Saint Petersburg,
77.72.125.0/24,RU,RU-SPE,Saint Petersburg,
77.72.126.0/24,RU,RU-SPE,Saint Petersburg,
77.72.127.0/24,RU,RU-SPE,Saint Petersburg,
185.22.204.0/24,RU,RU-SPE,Saint Petersburg,
185.22.205.0/24,RU,RU-SPE,Saint Petersburg,
185.22.206.0/24,RU,RU-SPE,Saint Petersburg,
185.22.207.0/24,RU,RU-SPE,Saint Petersburg,
2a00:60a0::/32,RU,RU-SPE,Saint Petersburg,
